,condition,expected_n,successful,failed,done,not_done
0,19-12-gal4,1,0,18,18,-17
18,ss001984,1,0,1,1,0
24,ss00886,1,0,1,1,0
36,ss01989,1,0,1,1,0
46,ss25725,1,0,1,1,0
50,ss38410,1,0,1,1,0
11,604183,1,0,1,1,0
21,ss00739,1,1,6,7,-6
13,854,1,1,11,12,-11
5,49826,1,1,11,12,-11
25,ss00911,1,1,9,10,-9
40,ss04068,1,2,10,12,-11
32,ss01762,1,2,10,12,-11
20,ss00721,1,2,7,9,-8
51,ss42527,1,3,3,6,-5
52,ss52506,1,3,3,6,-5
2,45873,1,3,3,6,-5
47,ss25755,1,4,8,12,-11
29,ss01632,1,4,3,7,-6
26,ss00918,1,4,8,12,-11
33,ss01943,1,4,2,6,-5
1,26259,1,4,8,12,-11
23,ss00878,1,4,5,9,-8
54,ss53257,1,5,1,6,-5
27,ss01378,1,5,7,12,-11
22,ss00740,1,5,9,14,-13
9,602023,1,6,0,6,-5
53,ss52511,1,6,6,12,-11
3,48877,1,6,6,12,-11
4,49766,1,6,12,18,-17
49,ss38042,1,6,0,6,-5
45,ss25232,1,6,8,14,-13
44,ss21785,1,6,0,6,-5
10,603766,1,6,0,6,-5
31,ss01732,1,7,11,18,-17
7,50377,1,7,11,18,-17
38,ss03767,1,7,5,12,-11
48,ss27197,1,8,4,12,-11
43,ss04497,1,8,6,14,-13
42,ss04330,1,8,4,12,-11
55,ss55086,1,8,4,12,-11
12,73947,1,8,10,18,-17
28,ss01401,1,8,4,12,-11
35,ss01984,1,9,3,12,-11
6,49828,1,9,3,12,-11
16,mb196c,1,9,3,12,-11
41,ss04230,1,10,2,12,-11
34,ss01978,1,10,8,18,-17
8,57618,1,10,2,12,-11
30,ss01645,1,10,2,12,-11
14,8769,1,11,7,18,-17
19,ss00674,1,11,1,12,-11
37,ss03731,1,16,2,18,-17
39,ss04047,1,16,2,18,-17
15,empty-gal4,1,25,13,38,-37
17,split-control,1,34,4,38,-37
