,condition,successful,failed,total_completed,expected_successful,ready,pending,potential_successful,left_to_do
0,ss25725,0,6,6,18,no,0,0,18
1,854,5,25,30,18,no,0,5,13
2,ss38042,6,0,6,18,no,0,6,12
3,ss00888,4,8,12,18,no,6,10,8
4,ss01732,11,13,24,18,no,7,18,0
5,ss25755,17,13,30,18,no,3,20,-2
6,ss04497,16,14,30,18,no,4,20,-2
7,ss01978,16,14,30,18,no,4,20,-2
8,ss01943,16,8,24,18,no,5,21,-3
9,ss01762,11,13,24,18,no,10,21,-3
10,ss03767,17,13,30,18,no,4,21,-3
11,ss38410,6,6,12,18,no,15,21,-3
12,26259,7,17,24,18,no,15,22,-4
13,ss00918,8,16,24,18,no,14,22,-4
14,ss00721,16,8,24,18,no,6,22,-4
15,ss25232,18,18,36,18,yes,5,23,-5
16,ss00886,8,4,12,18,no,15,23,-5
17,ss00878,19,11,30,18,yes,5,24,-6
18,ss01984,15,3,18,18,no,10,25,-7
19,49766,6,18,24,18,no,19,25,-7
20,ss52511,9,9,18,18,no,16,25,-7
21,45873,11,7,18,18,no,15,26,-8
22,ss55086,8,4,12,18,no,18,26,-8
23,48877,16,8,24,18,no,11,27,-9
24,ss01401,8,4,12,18,no,19,27,-9
25,57618,14,4,18,18,no,15,29,-11
26,602023,12,6,18,18,no,17,29,-11
27,ss04230,13,5,18,18,no,16,29,-11
28,ss00740,14,16,30,18,no,15,29,-11
29,ss21785,15,3,18,18,no,14,29,-11
30,ss01645,13,5,18,18,no,16,29,-11
31,ss04330,13,5,18,18,no,17,30,-12
32,ss52506,9,3,12,18,no,21,30,-12
33,ss01632,16,8,24,18,no,14,30,-12
34,ss53257,13,4,17,18,no,17,30,-12
35,ss27197,10,8,18,18,no,20,30,-12
36,ss42527,13,5,18,18,no,18,31,-13
37,ss01989,9,3,12,18,no,22,31,-13
38,50377,10,14,24,18,no,21,31,-13
39,ss00739,9,15,24,18,no,22,31,-13
40,ss01378,10,8,18,18,no,21,31,-13
41,ss04068,10,14,24,18,no,21,31,-13
42,mb196c,14,4,18,18,no,17,31,-13
43,8769,15,9,24,18,no,17,32,-14
44,ss00911,16,14,30,18,no,16,32,-14
45,ss03731,20,4,24,18,yes,12,32,-14
46,73947,11,13,24,18,no,21,32,-14
47,ss04047,16,2,18,18,no,17,33,-15
48,19-12-gal4,0,36,36,18,no,35,35,-17
49,49826,1,17,18,18,no,35,36,-18
50,ss00674,23,7,30,18,yes,15,38,-20
51,603766,6,0,6,18,no,33,39,-21
52,49828,8,10,18,18,no,34,42,-24
53,empty-gal4,50,22,72,18,yes,44,94,-76
54,split-control,58,14,72,18,yes,42,100,-82
