condition,actual_or_expected
19-12-gal4,expected
ss01378,expected
ss01732,expected
ss01762,expected
ss01943,expected
ss01978,expected
ss01984,expected
ss01989,expected
ss03731,expected
ss03767,expected
ss04047,expected
ss04068,expected
ss04230,expected
ss04330,expected
ss04497,expected
ss21785,expected
ss25232,expected
ss25725,expected
ss25755,expected
ss27197,expected
ss38042,expected
ss38410,expected
ss42527,expected
ss52506,expected
ss52511,expected
ss53257,expected
26259,expected
ss01645,expected
ss55086,expected
ss00918,expected
ss00674,expected
45873,expected
48877,expected
49766,expected
49826,expected
49828,expected
50377,expected
57618,expected
ss01632,expected
ss00911,expected
ss01401,expected
ss00721,expected
602023,expected
ss00739,expected
854,expected
603766,expected
split-control,expected
mb196c,expected
empty-gal4,expected
8769,expected
ss001984,expected
73947,expected
ss00878,expected
ss00740,expected
ss00886,expected
604183,expected
SS53257,actual
MB196C,actual
603217,actual
SS03731,actual
SS04047,actual
SS04230,actual
EMPTY-2,actual
SPLIT-2,actual
19-12-GAL4,actual
SS01645,actual
SS00740,actual
602999,actual
SS52511,actual
SS01378,actual
SS01762,actual
SS00918,actual
SS04068,actual
603218,actual
SS21785,actual
SS42527,actual
SS01401,actual
SS00674,actual
SS01984,actual
SS01978,actual
SS38042,actual
SS25755,actual
SS04330,actual
SS55086,actual
SS03767,actual
SS04497,actual
602572,actual
SPLIT-1,actual
SS27197,actual
SS01732,actual
EMPTY-1,actual
SS25232,actual
603021,actual
602566,actual
604181,actual
SS01943,actual
604176,actual
SS52506,actual
